idx,commune,district,voivodeship,sth1,sth2,sth3,sth4
0405022,gmina Ciechocin,golubsko-dobrzyński,kujawsko-pomorskie,"101,23",4010,"39,61","-1,41"
1005052,gmina Kiernozia,łowicki,łódzkie,"76,23",3357,"44,04","-8,68"
2813043,gmina Olecko,olecki,warmińsko-mazurskie,"266,74",21982,"82,41","-1,39"
1012053,gmina Kamieńsk,radomszczański,łódzkie,"96,44",5856,"60,72","-7,02"
3004073,gmina Poniec,gostyński,wielkopolskie,"131,93",7738,"58,65","-2,36"
0615022,gmina Borki,radzyński,lubelskie,"111,82",5965,"53,34","-3,83"
2801011,Bartoszyce,bartoszycki,warmińsko-mazurskie,"11,79",23156,"1964,04","-10,93"
3216062,gmina Świdwin,świdwiński,zachodniopomorskie,"247,25",5800,"23,46","-7,97"
1820013,gmina Baranów Sandomierski,tarnobrzeski,podkarpackie,"121,55",11800,"97,08","-4,92"
2804042,gmina Markusy,elbląski,warmińsko-mazurskie,"109,6",4043,"36,89","-8,43"
2806102,gmina Wydminy,giżycki,warmińsko-mazurskie,"232,99",6202,"26,62","-9,65"
2201082,gmina Studzienice,bytowski,pomorskie,"176,26",3785,"21,47","10,89"
1601011,Brzeg,brzeski,opolskie,"14,61",35491,"2429,23","-6,64"
0617042,gmina Rybczewice,świdnicki,lubelskie,"99,13",3353,"33,82","-12,32"
1201011,Bochnia,bocheński,małopolskie,"29,87",29733,"995,41","-2,68"
1609123,gmina Tułowice,opolski,opolskie,"81,25",5206,"64,07","-1,34"
0662011,Chełm,Chełm,lubelskie,"35,28",61588,"1745,69","-10,29"
0208123,gmina Radków,kłodzki,dolnośląskie,"139,95",9018,"64,44","-4,32"
0201062,gmina Warta Bolesławiecka,bolesławiecki,dolnośląskie,"110,44",8634,"78,18","-0,92"
1433062,gmina Miedzna,węgrowski,mazowieckie,"116,01",3806,"32,81","-10,21"
0217032,gmina Przeworno,strzeliński,dolnośląskie,"111,97",4734,"42,28","-8,51"
2005011,Hajnówka,hajnowski,podlaskie,"21,29",20391,"957,77","-10,33"
1214023,gmina Koszyce,proszowicki,małopolskie,"66,06",5439,"82,33","-5,93"
1603052,gmina Polska Cerekiew,kędzierzyńsko-kozielski,opolskie,"60,12",4003,"66,58","-8,59"
2004043,gmina Rajgród,grajewski,podlaskie,"207,26",5136,"24,78","-9,8"
0612053,gmina Opole Lubelskie,opolski,lubelskie,"193,72",17047,88,"-7,36"
3007102,gmina Szczytniki,kaliski,wielkopolskie,"110,33",7798,"70,68","-1,96"
3021143,gmina Stęszew,poznański,wielkopolskie,"175,02",15148,"86,55","3,55"
0811092,gmina Tuplice,żarski,lubuskie,"65,75",3027,"46,04","-9,72"
0803063,gmina Trzciel,międzyrzecki,lubuskie,"177,51",6407,"36,09","-6,98"
2817022,gmina Dźwierzuty,szczycieński,warmińsko-mazurskie,"263,34",6459,"24,53","-9,52"
2413062,gmina Ożarowice,tarnogórski,śląskie,"45,88",5820,"126,85","5,27"
2602042,gmina Nagłowice,jędrzejowski,świętokrzyskie,"117,29",4906,"41,83","-6,11"
1211123,gmina Rabka-Zdrój,nowotarski,małopolskie,"69,16",17049,"246,52","-3,44"
1004022,gmina Daszyna,łęczycki,łódzkie,"80,91",3853,"47,62","-7,67"
2406023,gmina Krzepice,kłobucki,śląskie,"78,94",9070,"114,9","-6,17"
1215082,gmina Zawoja,suski,małopolskie,"128,78",9062,"70,37","-1,58"
0226043,gmina Świerzawa,złotoryjski,dolnośląskie,"159,99",7487,"46,8","-6,29"
1438011,Żyrardów,żyrardowski,mazowieckie,"14,35",39730,"2768,64","-4,98"
0415092,gmina Zławieś Wielka,toruński,kujawsko-pomorskie,"177,91",14505,"81,53","17,09"
